orderID,customerID,employeeID,orderDate,requiredDate,shippedDate,shipVia,freight,shipName,shipAddress,shipCountry
10248,VINET,5,04/07/2020,01/08/2020,16/07/2020,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,France
10249,TOMSP,6,05/07/2020,16/08/2020,10/07/2020,1,11.61,Toms Spezialitäten,Luisenstr. 48,Germany
10250,HANAR,4,08/07/2020,05/08/2020,12/07/2020,2,65.83,Hanari Carnes,Rua do Paço 67,Brazil
10251,VICTE,3,08/07/2020,05/08/2020,15/07/2020,1,41.34,Victuailles en stock,2 rue du Commerce,France
10252,SUPRD,4,09/07/2020,06/08/2020,11/07/2020,2,51.3,Suprêmes délices,Boulevard Tirou 255,Belgium
10253,HANAR,3,10/07/2020,24/07/2020,16/07/2020,2,58.17,Hanari Carnes,Rua do Paço 67,Brazil
10254,CHOPS,5,11/07/2020,08/08/2020,23/07/2020,2,22.98,Chop-suey Chinese,Hauptstr. 31,Switzerland
10255,RICSU,9,12/07/2020,09/08/2020,15/07/2020,3,148.33,Richter Supermarkt,Starenweg 5,Switzerland
10256,WELLI,3,15/07/2020,12/08/2020,17/07/2020,2,13.97,Wellington Importadora,Rua do Mercado 12,Brazil
10257,HILAA,4,16/07/2020,13/08/2020,22/07/2020,3,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,Venezuela
10258,ERNSH,1,17/07/2020,14/08/2020,23/07/2020,1,140.51,Ernst Handel,Kirchgasse 6,Austria
10259,CENTC,4,18/07/2020,15/08/2020,25/07/2020,3,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,Mexico
10260,OTTIK,4,19/07/2020,16/08/2020,29/07/2020,1,55.09,Ottilies Käseladen,Mehrheimerstr. 369,Germany
10261,QUEDE,4,19/07/2020,16/08/2020,30/07/2020,2,3.05,Que Delícia,Rua da Panificadora 12,Brazil
10262,RATTC,8,22/07/2020,19/08/2020,25/07/2020,3,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,USA
10263,ERNSH,9,23/07/2020,20/08/2020,31/07/2020,3,146.06,Ernst Handel,Kirchgasse 6,Austria
10264,FOLKO,6,24/07/2020,21/08/2020,23/08/2020,3,3.67,Folk och fä HB,Åkergatan 24,Sweden
10265,BLONP,2,25/07/2020,22/08/2020,12/08/2020,1,55.28,Blondel père et fils,24 place Kléber,France
10266,WARTH,3,26/07/2020,06/09/2020,31/07/2020,3,25.73,Wartian Herkku,Torikatu 38,Finland
